"Name","Left","Top","Width","Height","BorderLTRB"
"Status_R01_C08","608","16","16","16","0"
"Status_R01_C09","624","16","16","16","0"
"Status_R01_C10","640","16","16","16","0"
"Status_R01_C11","656","16","16","16","0"
"Status_R01_C12","672","16","16","16","0"
"Status_R01_C13","688","16","16","16","0"
"Status_R01_C14","704","16","16","16","0"
"Status_R01_C15","720","16","16","16","0"
"Status_R01_C16","736","16","16","16","0"
"Status_R02_C01","496","32","16","16","0"
"Status_R02_C02","512","32","16","16","0"
"Status_R02_C03","528","32","16","16","0"
"Status_R02_C04","544","32","16","16","0"
"Status_R02_C05","560","32","16","16","0"
"Status_R02_C06","576","32","16","16","0"
"Status_R02_C07","592","32","16","16","0"
"Status_R02_C08","608","32","16","16","0"
"Status_R02_C09","624","32","16","16","0"
"Status_R02_C10","640","32","16","16","0"
"Status_R02_C11","656","32","16","16","0"
"Status_R02_C12","672","32","16","16","0"
"Status_R02_C13","688","32","16","16","0"
"Status_R02_C14","704","32","16","16","0"
"Status_R02_C15","720","32","16","16","0"
"Status_R02_C16","736","32","16","16","0"
"Status_R03_C01","496","48","16","16","0"
"Status_R03_C02","512","48","16","16","0"
"Status_R03_C03","528","48","16","16","0"
"Status_R03_C04","544","48","16","16","0"
"Status_R03_C05","560","48","16","16","0"
"Status_R03_C06","576","48","16","16","0"
"Status_R03_C07","592","48","16","16","0"
"Status_R03_C08","608","48","16","16","0"
"Status_R03_C09","624","48","16","16","0"
"Status_R03_C10","640","48","16","16","0"
"Status_R03_C11","656","48","16","16","0"
"Status_R03_C12","672","48","16","16","0"
"Status_R03_C13","688","48","16","16","0"
"Status_R03_C14","704","48","16","16","0"
"Status_R03_C15","720","48","16","16","0"
"Status_R03_C16","736","48","16","16","0"
"Status_R04_C01","496","64","16","16","0"
"Status_R04_C02","512","64","16","16","0"
"Status_R04_C03","528","64","16","16","0"
"Status_R04_C04","544","64","16","16","0"
"Status_R04_C05","560","64","16","16","0"
"Status_R04_C06","576","64","16","16","0"
"Status_R04_C07","592","64","16","16","0"
"Status_R04_C08","608","64","16","16","0"
"Status_R04_C09","624","64","16","16","0"
"Status_R04_C10","640","64","16","16","0"
"Status_R04_C11","656","64","16","16","0"
"Status_R04_C12","672","64","16","16","0"
"Status_R04_C13","688","64","16","16","0"
"Status_R04_C14","704","64","16","16","0"
"Status_R04_C15","720","64","16","16","0"
"Status_R04_C16","736","64","16","16","0"
"Tool_R01_C01","496","80","16","32","0"
"Tool_R01_C02","512","80","16","32","0"
"StatusSymbol_R01_C01","528","80","16","16","0"
"StatusSymbol_R01_C02","544","80","16","16","0"
"StatusSymbol_R01_C03","560","80","16","16","0"
"StatusSymbol_R01_C04","576","80","16","16","0"
"StatusSymbol_R01_C06","608","80","16","16","0"
"StatusSymbol_R01_C07","624","80","16","16","0"
"StatusSymbol_R01_C08","640","80","16","16","0"
"StatusSymbol_R01_C09","656","80","16","16","0"
"StatusSymbol_R01_C11","688","80","16","16","0"
"StatusSymbol_R01_C12","704","80","16","16","0"
"StatusSymbol_R01_C13","720","80","16","16","0"
"StatusSymbol_R01_C14","736","80","16","16","0"
"StatusSymbol_R02_C01","528","96","16","16","0"
"StatusSymbol_R02_C02","544","96","16","16","0"
"StatusSymbol_R02_C03","560","96","16","16","0"
"StatusSymbol_R02_C04","576","96","16","16","0"
"StatusSymbol_R02_C06","608","96","16","16","0"
"StatusSymbol_R02_C07","624","96","16","16","0"
"StatusSymbol_R02_C08","640","96","16","16","0"
"StatusSymbol_R02_C09","656","96","16","16","0"
"StatusSymbol_R02_C11","688","96","16","16","0"
"StatusSymbol_R02_C12","704","96","16","16","0"
"StatusSymbol_R02_C13","720","96","16","16","0"
"StatusSymbol_R02_C14","736","96","16","16","0"
"Meter_R01_C01","768","16","48","16","0"
"Meter_R02_C01","768","32","48","16","0"
"Meter_R03_C01","768","48","48","16","0"
"Meter_R04_C01","768","64","48","16","0"
"Meter_R05_C01","768","80","48","16","0"
"Meter_R06_C01","768","96","48","16","0"
"Meter_R07_C01","768","112","48","16","0"
"Meter_R08_C01","768","128","48","16","0"
"MeterCap_R01_C01","816","16","32","16","0"
"MeterCap_R02_C01","816","32","32","16","0"
"MeterCap_R03_C01","816","48","32","16","0"
"MeterCap_R04_C01","816","64","32","16","0"
"MeterCap_R05_C01","816","80","32","16","0"
"MeterCap_R06_C01","816","96","32","16","0"
"MeterCap_R07_C01","816","112","32","16","0"
"MeterCap_R08_C01","816","128","32","16","0"
"MeterSmall_R01_C01","864","16","48","16","0"
"MeterSmall_R02_C01","864","32","48","16","0"
"MeterSmall_R03_C01","864","48","48","16","0"
"MeterSmall_R04_C01","864","64","48","16","0"
"MeterSmall_R05_C01","864","80","48","16","0"
"MeterSmall_R06_C01","864","96","48","16","0"
"MeterSmall_R07_C01","864","112","48","16","0"
"MeterSmall_R08_C01","864","128","48","16","0"
"IconWhite_R01_C01","928","16","16","16","0"
"IconWhite_R01_C02","944","16","16","16","0"
"IconWhite_R01_C03","960","16","16","16","0"
"IconWhite_R01_C04","976","16","16","16","0"
"IconWhite_R01_C05","992","16","16","16","0"
"IconWhite_R01_C06","1008","16","16","16","0"
"IconWhite_R01_C07","1024","16","16","16","0"
"IconWhite_R02_C01","928","32","16","16","0"
"IconWhite_R02_C02","944","32","16","16","0"
"IconWhite_R02_C03","960","32","16","16","0"
"IconWhite_R02_C04","976","32","16","16","0"
"IconWhite_R02_C05","992","32","16","16","0"
"IconWhite_R02_C06","1008","32","16","16","0"
"IconWhite_R02_C07","1024","32","16","16","0"
"IconWhite_R04_C01","928","64","16","16","0"
"IconWhite_R04_C02","944","64","16","16","0"
"IconWhite_R04_C03","960","64","16","16","0"
"IconWhite_R04_C04","976","64","16","16","0"
"IconWhite_R04_C05","992","64","16","16","0"
"IconWhite_R04_C06","1008","64","16","16","0"
"IconWhite_R04_C07","1024","64","16","16","0"
"IconWhite_R05_C01","928","80","16","16","0"
"IconWhite_R05_C02","944","80","16","16","0"
"IconWhite_R05_C03","960","80","16","16","0"
"IconWhite_R05_C04","976","80","16","16","0"
"IconWhite_R05_C05","992","80","16","16","0"
"IconWhite_R05_C06","1008","80","16","16","0"
"IconWhite_R05_C07","1024","80","16","16","0"
"IconLight_R01_C01","928","112","16","16","0"
"IconLight_R01_C02","944","112","16","16","0"
"IconLight_R01_C03","960","112","16","16","0"
"IconLight_R01_C04","976","112","16","16","0"
"IconLight_R01_C05","992","112","16","16","0"
"IconLight_R01_C06","1008","112","16","16","0"
"IconLight_R01_C07","1024","112","16","16","0"
"IconLight_R02_C01","928","128","16","16","0"
"IconLight_R02_C02","944","128","16","16","0"
"IconLight_R02_C03","960","128","16","16","0"
"IconLight_R02_C04","976","128","16","16","0"
"IconLight_R02_C05","992","128","16","16","0"
"IconLight_R02_C06","1008","128","16","16","0"
"IconLight_R02_C07","1024","128","16","16","0"
"IconLight_R03_C01","928","144","16","16","0"
"IconLight_R03_C02","944","144","16","16","0"
"IconLight_R03_C03","960","144","16","16","0"
"IconLight_R03_C04","976","144","16","16","0"
"IconLight_R03_C05","992","144","16","16","0"
"IconLight_R03_C06","1008","144","16","16","0"
"IconLight_R03_C07","1024","144","16","16","0"
"IconLight_R04_C01","928","160","16","16","0"
"IconLight_R04_C02","944","160","16","16","0"
"IconLight_R04_C03","960","160","16","16","0"
"IconLight_R04_C04","976","160","16","16","0"
"IconLight_R04_C05","992","160","16","16","0"
"IconLight_R05_C01","928","176","16","16","0"
"IconLight_R05_C02","944","176","16","16","0"
"IconLight_R05_C03","960","176","16","16","0"
"IconLight_R05_C04","976","176","16","16","0"
"IconLight_R05_C05","992","176","16","16","0"
"IconLight_R05_C06","1008","176","16","16","0"
"IconLight_R05_C07","1024","176","16","16","0"
"IconDark_R01_C01","928","192","16","16","0"
"IconDark_R01_C02","944","192","16","16","0"
"IconDark_R01_C03","960","192","16","16","0"
"IconDark_R01_C04","976","192","16","16","0"
"IconDark_R01_C05","992","192","16","16","0"
"IconDark_R01_C06","1008","192","16","16","0"
"IconDark_R01_C07","1024","192","16","16","0"
"IconDark_R02_C01","928","208","16","16","0"
"IconDark_R02_C02","944","208","16","16","0"
"IconDark_R02_C03","960","208","16","16","0"
"IconDark_R02_C04","976","208","16","16","0"
"IconDark_R02_C05","992","208","16","16","0"
"IconDark_R02_C06","1008","208","16","16","0"
"IconDark_R02_C07","1024","208","16","16","0"
"IconDark_R03_C01","928","224","16","16","0"
"IconDark_R03_C02","944","224","16","16","0"
"IconDark_R03_C03","960","224","16","16","0"
"IconDark_R03_C04","976","224","16","16","0"
"IconDark_R03_C05","992","224","16","16","0"
"InventoryIcon_R01_C01","928","256","16","16","0"
"InventoryIcon_R01_C02","944","256","16","16","0"
"InventoryIcon_R01_C03","960","256","16","16","0"
"InventoryIcon_R01_C04","976","256","16","16","0"
"InventoryIcon_R01_C05","992","256","16","16","0"
"InventoryIcon_R01_C06","1008","256","16","16","0"
"InventoryIcon_R02_C01","928","272","16","16","0"
"InventoryIcon_R02_C02","944","272","16","16","0"
"InventoryIcon_R02_C03","960","272","16","16","0"
"InventoryIcon_R02_C04","976","272","16","16","0"
"InventoryIcon_R02_C05","992","272","16","16","0"
"InventoryIcon_R02_C06","1008","272","16","16","0"
"InventoryIcon_R03_C01","928","288","16","16","0"
"InventoryIcon_R03_C02","944","288","16","16","0"
"InventoryIcon_R03_C03","960","288","16","16","0"
"InventoryIcon_R03_C04","976","288","16","16","0"
"InventoryIcon_R03_C05","992","288","16","16","0"
"InventoryIcon_R03_C06","1008","288","16","16","0"
"InventoryIcon_R04_C01","928","304","16","16","0"
"InventoryIcon_R04_C02","944","304","16","16","0"
"InventoryIcon_R04_C03","960","304","16","16","0"
"InventoryIcon_R04_C04","976","304","16","16","0"
"InventoryIcon_R04_C05","992","304","16","16","0"
"InventoryIcon_R04_C06","1008","304","16","16","0"
"InventoryIcon_R05_C01","928","320","16","16","0"
"InventoryIcon_R05_C02","944","320","16","16","0"
"InventoryIcon_R05_C03","960","320","16","16","0"
"InventoryIcon_R05_C04","976","320","16","16","0"
"InventoryIcon_R05_C05","992","320","16","16","0"
"InventoryIcon_R05_C06","1008","320","16","16","0"
"InventoryIcon_R06_C01","928","336","16","16","0"
"InventoryIcon_R06_C02","944","336","16","16","0"
"InventoryIcon_R06_C03","960","336","16","16","0"
"InventoryIcon_R06_C04","976","336","16","16","0"
"InventoryIcon_R06_C05","992","336","16","16","0"
"InventoryIcon_R06_C06","1008","336","16","16","0"
"WeatherRound_R01_C01","1056","16","48","48","0"
"WeatherRound_R01_C02","1104","16","48","48","0"
"WeatherRound_R01_C03","1152","16","48","48","0"
"WeatherRound_R02_C01","1056","64","48","48","0"
"WeatherRound_R02_C02","1104","64","48","48","0"
"WeatherRound_R02_C03","1152","64","48","48","0"
"WeatherSquare_R01_C01","1056","128","48","48","0"
"WeatherSquare_R01_C02","1104","128","48","48","0"
"WeatherSquare_R01_C03","1152","128","48","48","0"
"WeatherSquare_R02_C01","1056","176","48","48","0"
"WeatherSquare_R02_C02","1104","176","48","48","0"
"WeatherSquare_R02_C03","1152","176","48","48","0"
"WeatherMoon_R01_C01","1056","240","48","48","0"
"WeatherMoon_R01_C02","1104","240","48","48","0"
"WeatherMoon_R02_C01","1056","288","48","48","0"
"WeatherMoon_R02_C02","1104","288","48","48","0"
"WeatherMoon_R03_C01","1056","336","48","48","0"
"WeatherMoon_R03_C02","1104","336","48","48","0"
"SliderOrnate_R01_C01","496","144","96","32","0"
"SliderOrnate_R02_C01","496","176","96","32","0"
"SliderOrnate_R03_C01","496","208","96","32","0"
"SliderOrnate_R04_C01","496","240","96","32","0"
"SliderCompact_R01_C01","592","160","112","16","0"
"SliderCompact_R02_C01","592","176","112","16","0"
"SliderCompact_R03_C01","592","192","112","16","0"
"LineAccent_R01_C01","624","208","48","16","0"
"LineAccent_R02_C01","624","224","48","16","0"
"LineAccent_R03_C01","624","240","48","16","0"
"LineAccent_R04_C01","624","256","48","16","0"
"ProgressGold_R01_C01","512","272","64","16","0"
"ProgressGold_R02_C01","512","288","64","16","0"
"ProgressGold_R03_C01","512","304","64","16","0"
"TileRoundDark_R01_C01","816","176","16","16","0"
"TileRoundDark_R01_C02","832","176","16","16","0"
"TileRoundDark_R01_C03","848","176","16","16","0"
"TileRoundDark_R01_C04","864","176","16","16","0"
"TileRoundDark_R02_C01","816","192","16","16","0"
"TileRoundDark_R02_C02","832","192","16","16","0"
"TileRoundDark_R02_C03","848","192","16","16","0"
"TileRoundDark_R02_C04","864","192","16","16","0"
"TileRoundDark_R03_C01","816","208","16","16","0"
"TileRoundDark_R03_C02","832","208","16","16","0"
"TileRoundDark_R03_C03","848","208","16","16","0"
"TileRoundDark_R03_C04","864","208","16","16","0"
"TileRoundDark_R04_C01","816","224","16","16","0"
"TileRoundDark_R04_C02","832","224","16","16","0"
"TileRoundDark_R04_C03","848","224","16","16","0"
"TileRoundDark_R04_C04","864","224","16","16","0"
"TileRoundLight_R01_C01","816","240","16","16","0"
"TileRoundLight_R01_C02","832","240","16","16","0"
"TileRoundLight_R01_C03","848","240","16","16","0"
"TileRoundLight_R01_C04","864","240","16","16","0"
"TileRoundLight_R02_C01","816","256","16","16","0"
"TileRoundLight_R02_C02","832","256","16","16","0"
"TileRoundLight_R02_C03","848","256","16","16","0"
"TileRoundLight_R02_C04","864","256","16","16","0"
"TileRoundLight_R03_C01","816","272","16","16","0"
"TileRoundLight_R03_C02","832","272","16","16","0"
"TileRoundLight_R03_C03","848","272","16","16","0"
"TileRoundLight_R03_C04","864","272","16","16","0"
"TileRoundLight_R04_C01","816","288","16","16","0"
"TileRoundLight_R04_C02","832","288","16","16","0"
"TileRoundLight_R04_C03","848","288","16","16","0"
"TileRoundLight_R04_C04","864","288","16","16","0"
"TileGold_R01_C01","816","304","16","16","0"
"TileGold_R01_C02","832","304","16","16","0"
"TileGold_R01_C03","848","304","16","16","0"
"TileGold_R01_C04","864","304","16","16","0"
"TileGold_R02_C01","816","320","16","16","0"
"TileGold_R02_C02","832","320","16","16","0"
"TileGold_R02_C03","848","320","16","16","0"
"TileGold_R02_C04","864","320","16","16","0"
"TileGold_R03_C01","816","336","16","16","0"
"TileGold_R03_C02","832","336","16","16","0"
"TileGold_R03_C03","848","336","16","16","0"
"TileGold_R03_C04","864","336","16","16","0"
"TileGold_R04_C01","816","352","16","16","0"
"TileGold_R04_C02","832","352","16","16","0"
"TileGold_R04_C03","848","352","16","16","0"
"TileGold_R04_C04","864","352","16","16","0"
"TileWhiteGold_R01_C01","816","368","16","16","0"
"TileWhiteGold_R01_C02","832","368","16","16","0"
"TileWhiteGold_R01_C03","848","368","16","16","0"
"TileWhiteGold_R01_C04","864","368","16","16","0"
"TileWhiteGold_R02_C01","816","384","16","16","0"
"TileWhiteGold_R02_C02","832","384","16","16","0"
"TileWhiteGold_R02_C03","848","384","16","16","0"
"TileWhiteGold_R02_C04","864","384","16","16","0"
"TileWhiteGold_R03_C01","816","400","16","16","0"
"TileWhiteGold_R03_C02","832","400","16","16","0"
"TileWhiteGold_R03_C03","848","400","16","16","0"
"TileWhiteGold_R03_C04","864","400","16","16","0"
"TileWhiteGold_R04_C01","816","416","16","16","0"
"TileWhiteGold_R04_C02","832","416","16","16","0"
"TileWhiteGold_R04_C03","848","416","16","16","0"
"TileWhiteGold_R04_C04","864","416","16","16","0"
"WindowFrame_R01_C01","752","176","64","64","0"
"WindowFrame_R02_C01","752","240","64","64","0"
"WindowFrame_R03_C01","752","304","64","64","0"
"WindowFrame_R04_C01","752","368","64","64","0"
"SlotSmall_R01_C01","16","240","16","16","0"
"SlotSmall_R01_C02","32","240","16","16","0"
"SlotSmall_R01_C03","48","240","16","16","0"
"SlotSmall_R02_C01","16","256","16","16","0"
"SlotSmall_R02_C02","32","256","16","16","0"
"SlotSmall_R02_C03","48","256","16","16","0"
"Badge_R01_C01","240","272","16","32","0"
"Badge_R01_C02","256","272","16","32","0"
"Badge_R01_C03","272","272","16","32","0"
"Badge_R01_C04","288","272","16","32","0"
"TinyPalette_R01_C01","16","160","8","16","0"
"TinyPalette_R01_C02","24","160","8","16","0"
"TinyPalette_R01_C03","32","160","8","16","0"
"TinyPalette_R01_C04","40","160","8","16","0"
"TinyPalette_R01_C05","48","160","8","16","0"
"TinyPalette_R01_C06","56","160","8","16","0"
"TinyPalette_R01_C07","64","160","8","16","0"
"TinyPalette_R01_C08","72","160","8","16","0"
"TinyPalette_R01_C11","96","160","8","16","0"
"TinyPalette_R01_C12","104","160","8","16","0"
"TinyPalette_R01_C13","112","160","8","16","0"
"TinyPalette_R01_C14","120","160","8","16","0"
"TinyPalette_R01_C15","128","160","8","16","0"
"TinyPalette_R01_C16","136","160","8","16","0"
"TinyPalette_R01_C17","144","160","8","16","0"
"TinyPalette_R01_C18","152","160","8","16","0"
"TinyPalette_R02_C01","16","176","8","16","0"
"TinyPalette_R02_C02","24","176","8","16","0"
"TinyPalette_R02_C03","32","176","8","16","0"
"TinyPalette_R02_C04","40","176","8","16","0"
"TinyPalette_R02_C05","48","176","8","16","0"
"TinyPalette_R02_C06","56","176","8","16","0"
"TinyPalette_R02_C07","64","176","8","16","0"
"TinyPalette_R02_C08","72","176","8","16","0"
"TinyPalette_R02_C11","96","176","8","16","0"
"TinyPalette_R02_C12","104","176","8","16","0"
"TinyPalette_R02_C13","112","176","8","16","0"
"TinyPalette_R02_C14","120","176","8","16","0"
"TinyPalette_R02_C15","128","176","8","16","0"
"TinyPalette_R02_C16","136","176","8","16","0"
"TinyPalette_R02_C17","144","176","8","16","0"
"TinyPalette_R02_C18","152","176","8","16","0"
"TinyPalette_R03_C01","16","192","8","16","0"
"TinyPalette_R03_C02","24","192","8","16","0"
"TinyPalette_R03_C03","32","192","8","16","0"
"TinyPalette_R03_C04","40","192","8","16","0"
"TinyPalette_R03_C05","48","192","8","16","0"
"TinyPalette_R03_C06","56","192","8","16","0"
"TinyPalette_R03_C07","64","192","8","16","0"
"TinyPalette_R03_C08","72","192","8","16","0"
"TinyPalette_R03_C11","96","192","8","16","0"
"TinyPalette_R03_C12","104","192","8","16","0"
"TinyPalette_R03_C13","112","192","8","16","0"
"TinyPalette_R03_C14","120","192","8","16","0"
"TinyPalette_R03_C15","128","192","8","16","0"
"TinyPalette_R03_C16","136","192","8","16","0"
"TinyPalette_R03_C17","144","192","8","16","0"
"TinyPalette_R03_C18","152","192","8","16","0"
"MiniIcon_R01_C01","656","320","16","16","0"
"MiniIcon_R01_C02","672","320","16","16","0"
"MiniIcon_R01_C03","688","320","16","16","0"
"MiniIcon_R01_C04","704","320","16","16","0"
"MiniIcon_R02_C01","656","336","16","16","0"
"MiniIcon_R02_C02","672","336","16","16","0"
"MiniIcon_R02_C03","688","336","16","16","0"
"MiniIcon_R03_C03","688","352","16","16","0"
"Frame_Dotted","560","368","48","48","0"
"Frame_Blue","640","368","48","48","0"
"SlotGold_R01_C01","704","368","16","16","0"
"SlotGold_R02_C01","704","384","16","16","0"
"LabelHorizontalTop_R01_C01","96","240","32","16","0"
"LabelHorizontalTop_R01_C02","128","240","32","16","0"
"LabelHorizontalBottom_R01_C01","96","272","32","16","0"
"LabelHorizontalBottom_R01_C02","128","272","32","16","0"
"LabelVerticalLeft_R01_C01","192","176","16","16","0"
"LabelVerticalLeft_R02_C01","192","192","16","16","0"
"LabelVerticalRight_R01_C01","240","176","16","16","0"
"LabelVerticalRight_R02_C01","240","192","16","16","0"
"LabelPalette_R01_C01","32","208","16","16","0"
"LabelPalette_R01_C06","112","208","16","16","0"
"ArrowMeasureVertical","608","368","16","48","0"
"ArrowMeasureHorizontal","560","416","48","16","0"
"Detail_001","213","170","6","5","0"
"Detail_002","261","171","6","4","0"
"Detail_003","213","177","6","62","0"
"Detail_004","263","178","2","60","0"
"Detail_005","178","180","12","8","0"
"Detail_006","229","182","6","5","0"
"Detail_007","178","197","12","6","0"
"Detail_008","229","198","6","4","0"
"Detail_009","608","214","16","4","0"
"Detail_010","672","214","16","4","0"
"Detail_011","213","241","6","5","0"
"Detail_012","261","241","6","4","0"
"Detail_013","91","261","4","7","0"
"Detail_014","97","261","62","6","0"
"Detail_015","161","261","4","7","0"
"Detail_016","176","272","2","2","0"
"Detail_017","190","272","6","4","0"
"Detail_018","204","272","8","4","0"
"Detail_019","220","272","4","4","0"
"Detail_020","190","284","6","4","0"
"Detail_021","204","284","8","4","0"
"Detail_022","220","284","4","4","0"
"Detail_023","176","286","2","2","0"
"Detail_024","92","293","3","7","0"
"Detail_025","161","293","3","7","0"
"Detail_026","98","295","60","2","0"
"Detail_027","695","375","2","35","0"
"Detail_028","608","416","16","16","0"
"Detail_029","647","423","34","3","0"
